text,emotion,sentiment,clean_text
My stoic nature helps me endure,neutral,neutral,stoic nature helps endure
I choose to be stoic about this,neutral,neutral,choose stoic
Stoicism guides my response,neutral,neutral,stoicism guides response
I accept this with stoic grace,neutral,neutral,accept stoic grace
My stoic demeanor masks the pain,neutral,neutral,stoic demeanor masks pain
I embrace my stoic philosophy,neutral,neutral,embrace stoic philosophy
This is my stoic path,neutral,neutral,stoic path
I stand stoic and unmoved,neutral,neutral,stand stoic unmoved
I am furious about the delay,anger,negative,furious delay
This makes me sick to my stomach,disgust,negative,makes sick stomach
Wow I did not see that coming,surprise,neutral,wow not see coming
I am thrilled we won,joy,positive,thrilled won
I feel nothing special today,neutral,neutral,feel nothing special today
I am worried about the exam,neutral,negative,worried exam
I hate how they spoke to me,anger,negative,hate spoke
I miss my old friends so much,sadness,negative,miss old friends much
I am grateful for your help,joy,positive,grateful help
Stop bothering me,anger,negative,stop bothering
I am scared to open the results,neutral,negative,scared open results
That news shocked everyone,surprise,neutral,news shocked everyone
I feel disgusted by the smell,disgust,negative,feel disgusted smell
Just another boring meeting,neutral,neutral,another boring meeting
I am overjoyed at the birth,joy,positive,overjoyed birth
Crying alone in my room,sadness,negative,crying alone room
I am panicking about money,neutral,negative,panicking money
How dare they ignore me,anger,negative,dare ignore
I feel peaceful watching the sunset,neutral,positive,feel peaceful watching sunset
I am bored out of my mind,neutral,neutral,bored mind
I love my partner deeply,joy,positive,love partner deeply
I am terrified of heights,neutral,negative,terrified heights
This corruption is revolting,disgust,negative,corruption revolting
What a pleasant surprise gift,surprise,positive,pleasant surprise gift
I am miserable and tired,sadness,negative,miserable tired
I am so mad I could punch a wall,anger,negative,mad could punch wall
Fine whatever you say,neutral,neutral,fine whatever say
I am anxious about tomorrow's interview,neutral,negative,anxious tomorrows interview
Best day of my life,joy,positive,best day life
I feel empty after the breakup,sadness,negative,feel empty breakup
That lie makes me nauseous,disgust,negative,lie makes nauseous
Unbelievable plot twist,surprise,neutral,unbelievable plot twist
I am not angry just disappointed,sadness,negative,not angry disappointed
Calm breath in calm breath out,neutral,positive,calm breath calm breath
I am stressed but coping,neutral,negative,stressed coping
Ecstatic about the promotion,joy,positive,ecstatic promotion
I feel hopeless about finding work,sadness,negative,feel hopeless finding work
Gross mold in the fridge,disgust,negative,gross mold fridge
Wait what did you just say,surprise,neutral,wait say
I am enraged at the injustice,anger,negative,enraged injustice
Okay I guess,neutral,neutral,okay guess
I am nervous presenting to the class,neutral,negative,nervous presenting class
Smiling at the puppy video,joy,positive,smiling puppy video
Tears won't stop falling,sadness,negative,tears wont stop falling
I am disgusted with myself,disgust,negative,disgusted
Blindsided by the announcement,surprise,negative,blindsided announcement
I feel proud of my team,joy,positive,feel proud team
Road rage on the highway,anger,negative,road rage highway
Meh indifferent,neutral,neutral,meh indifferent
I am afraid of failing again,neutral,negative,afraid failing
Sunshine makes me happy,joy,positive,sunshine makes happy
Grieving my grandmother,sadness,negative,grieving grandmother
Repulsed by the violence on screen,disgust,negative,repulsed violence screen
Didn't expect to enjoy it this much,surprise,positive,didnt expect enjoy much
I am bitter about the promotion I missed,anger,negative,bitter promotion missed
Steady and unbothered,neutral,neutral,steady unbothered
I am shaking before the surgery,neutral,negative,shaking surgery
Celebrating with friends tonight,joy,positive,celebrating friends tonight
No one understands my pain,sadness,negative,no one understands pain
Sickened by the cruelty,disgust,negative,sickened cruelty
Plot twist ruined the ending for me,surprise,negative,plot twist ruined ending
I am livid about the broken promise,anger,negative,livid broken promise
Neither good nor bad just is,neutral,neutral,neither good nor bad
I am dreading Monday morning,neutral,negative,dreading monday morning
Heart full after volunteering,joy,positive,heart full volunteering
Failed again and feel like a loser,sadness,negative,failed feel like loser
Cannot stand the taste,disgust,negative,cannot stand taste
Whoa that explosion was loud,surprise,neutral,whoa explosion loud
I am seething silently,anger,negative,seething silently
Content with simple pleasures,neutral,positive,content simple pleasures
Worried sick about my child,neutral,negative,worried sick child
Jumping for joy at the news,joy,positive,jumping joy news
Blue mood all week,sadness,negative,blue mood week
Vile behavior deserves contempt,disgust,negative,vile behavior deserves contempt
Stunned into silence,surprise,neutral,stunned silence
I am frustrated the code won't compile,anger,negative,frustrated code wont compile
Balanced mind clear focus,neutral,positive,balanced mind clear focus
Scared of the dark hallway,neutral,negative,scared dark hallway
Grinning ear to ear,joy,positive,grinning ear ear
Wallowing in self pity,sadness,negative,wallowing self pity
Ew get that away from me,disgust,negative,ew get away
Never saw that betrayal coming,surprise,negative,never saw betrayal coming
I am boiling with rage right now,anger,negative,boiling rage right
Flat affect no ups no downs,neutral,neutral,flat affect no ups no downs
Stage fright before the performance,neutral,negative,stage fright performance
So relieved the test is over,joy,positive,relieved test
Melancholy autumn weather,sadness,negative,melancholy autumn weather
Filthy conditions in the shelter,disgust,negative,filthy conditions shelter
Gasped at the magic trick reveal,surprise,positive,gasped magic trick reveal
I am not happy about this,sadness,negative,not happy
This is not good at all,sadness,negative,not good
I do not feel great,sadness,negative,not feel great
Not excited for tomorrow,sadness,negative,not excited tomorrow
I am not okay,sadness,negative,not okay
Far from happy right now,sadness,negative,far happy right
I am not proud of what I did,sadness,negative,not proud
Not a good day for me,sadness,negative,not good day
I cannot say I am happy,sadness,negative,cannot say happy
I hate this,anger,negative,hate
I hate everything right now,anger,negative,hate everything right
I hate when people lie to me,anger,negative,hate people lie
I absolutely hate it,anger,negative,absolutely hate
I hate my job,anger,negative,hate job
I hate how I feel,sadness,negative,hate feel
