text,emotion,sentiment,confidence,mind_state
"This is absolutely unacceptable",angry,negative,0.93,"Righteous indignation and determined anger are fueling them."
"I'm so happy I could dance",happy,positive,0.94,"Unbridled happiness and lightness are radiating from within."
"I dread what comes next",fear,negative,0.83,"Dread and dark anticipation are shadowing their thoughts."
"I want to build a great kingdom but i have no consistency and no pc while i am a computer science student",frustrated,mixed,0.76,"Ambitious dreams clash with harsh reality - aspiring to greatness while struggling with basic consistency and resources."
"I feel like I'm on top of the world today",happy,positive,0.89,"Pure elation and confidence radiating from within."
"This project is going to change everything",excited,positive,0.91,"Anticipation and belief in transformative success."
"I'm so tired of pretending everything is fine",exhausted,negative,0.82,"Weariness from maintaining a facade of normalcy."
"The future feels so uncertain and overwhelming",anxious,negative,0.85,"Dread and helplessness about what lies ahead."
"I accomplished something amazing today",proud,positive,0.88,"Satisfaction and self-respect from personal achievement."
"Nothing I do ever seems to work out",hopeless,negative,0.87,"Deep discouragement and loss of faith in possibilities."
"I'm grateful for the small moments of joy",content,positive,0.79,"Appreciation for life's simple pleasures amidst challenges."
"This situation is completely unfair",indignant,negative,0.90,"Righteous anger at perceived injustice."
"I feel completely disconnected from reality",detached,neutral,0.73,"Emotional numbness and dissociation from surroundings."
"My heart is full of love and warmth",loving,positive,0.92,"Deep affection and emotional fulfillment."
"I'm terrified of making the wrong decision",fearful,negative,0.84,"Paralyzing anxiety about potential mistakes."
"Today brought unexpected peace and clarity",serene,positive,0.81,"Tranquil satisfaction with life's flow."
"I can't stop thinking about what went wrong",obsessive,negative,0.78,"Mental fixation on past failures and regrets."
"I'm inspired to create something beautiful",creative,positive,0.86,"Motivation and imagination flowing freely."
"This constant pressure is breaking me down",overwhelmed,negative,0.89,"Emotional exhaustion from unrelenting demands."
"I feel truly understood and valued",validated,positive,0.83,"Emotional security and self-worth affirmation."
"The world feels cold and indifferent",alienated,negative,0.80,"Isolation and disconnection from human warmth."
"I'm excited about learning something new",curious,positive,0.84,"Eager anticipation of knowledge and growth."
"This betrayal cuts deeper than I thought",wounded,negative,0.91,"Emotional pain from broken trust and hurt."
"I find comfort in routine and familiarity",secure,positive,0.77,"Stability and peace in predictable patterns."
"I'm angry at myself for not doing better",self-critical,negative,0.85,"Internal frustration and disappointment."
"Every day brings new possibilities",optimistic,positive,0.87,"Hopeful outlook on life's potential."
"I feel trapped with no way out",trapped,negative,0.88,"Despair and claustrophobia of inescapable circumstances."
"I'm proud of how far I've come",accomplished,positive,0.90,"Self-recognition of personal growth and progress."
"This loneliness is consuming me",lonely,negative,0.86,"Deep emotional isolation and yearning for connection."
"I wake up excited for what today holds",enthusiastic,positive,0.88,"Energetic anticipation and positive expectation."
"I'm disappointed in how things turned out",disappointed,negative,0.83,"Sadness from unmet expectations and hopes."
"My creativity is flowing like never before",inspired,positive,0.89,"Artistic energy and imaginative freedom."
"I feel judged and misunderstood",vulnerable,negative,0.81,"Emotional exposure and fear of rejection."
"Life feels balanced and harmonious",balanced,positive,0.82,"Equilibrium and satisfaction with life's rhythm."
"I'm resentful about past injustices",bitter,negative,0.87,"Lingering anger and grudge-holding."
"I feel empowered and capable",confident,positive,0.85,"Self-assurance and belief in abilities."
"This grief is heavier than I can bear",grieving,negative,0.92,"Overwhelming sorrow and loss."
"I'm motivated to make positive changes",determined,positive,0.86,"Purposeful drive and commitment to improvement."
"I feel worthless and insignificant",inadequate,negative,0.89,"Deep self-doubt and diminished self-worth."
"Every challenge feels like an opportunity",resilient,positive,0.84,"Strength and adaptability in the face of adversity."
"I'm consumed by jealousy and envy",jealous,negative,0.83,"Painful comparison and desire for others' success."
"I feel deeply connected to something greater",spiritual,positive,0.80,"Transcendent peace and universal connection."
"This rejection confirms my worst fears",rejected,negative,0.88,"Emotional pain from exclusion and abandonment."
"I'm passionate about making a difference",purposeful,positive,0.87,"Meaningful drive and commitment to impact."
"I feel numb and emotionally drained",empty,negative,0.81,"Emotional depletion and loss of feeling."
"Today feels like a fresh start",renewed,positive,0.83,"Hope and energy for new beginnings."
"I'm haunted by memories I can't escape",tormented,negative,0.86,"Mental anguish from inescapable past trauma."
"I feel appreciated and valued by others",cherished,positive,0.85,"Emotional warmth from meaningful connections."
"This failure defines who I am",defeated,negative,0.90,"Complete loss of hope and self-identity."
"I'm optimistic about our shared future",hopeful,positive,0.82,"Positive vision and faith in collective potential."
"I feel invisible and forgotten",ignored,negative,0.84,"Pain of being overlooked and insignificant."
"My heart overflows with compassion",compassionate,positive,0.88,"Deep empathy and care for others' suffering."
"I'm suspicious of everyone's motives",paranoid,negative,0.79,"Distrust and fear of hidden agendas."
"I feel alive and present in this moment",mindful,positive,0.81,"Conscious awareness and appreciation of now."
"This guilt is eating me alive",guilty,negative,0.87,"Self-condemnation and remorse."
"I'm enthusiastic about collaborating",team-spirited,positive,0.84,"Energetic commitment to group success."
"I feel exposed and unprotected",exposed,negative,0.82,"Vulnerability and fear of harm."
"Every day teaches me something valuable",wise,positive,0.83,"Growth and learning from life's lessons."
"I'm bitter about opportunities lost",regretful,negative,0.85,"Sorrow over missed chances and paths not taken."
"I feel supported and loved unconditionally",nurtured,positive,0.89,"Emotional safety and deep care."
"This shame burns deep within me",ashamed,negative,0.91,"Humiliation and self-loathing."
"I'm committed to personal growth",evolving,positive,0.86,"Dedication to self-improvement and development."
"I feel controlled and manipulated",victimized,negative,0.88,"Powerlessness and resentment of control."
"My enthusiasm is contagious",infectious,positive,0.87,"Overflowing energy that inspires others."
"I'm cynical about people's intentions",cynical,negative,0.80,"Distrust and belief in selfish motives."
"I feel grounded and centered",centered,positive,0.84,"Inner peace and stability."
"This rage consumes my thoughts",enraged,negative,0.93,"Intense fury and loss of control."
"I'm passionate about justice and fairness",just,positive,0.88,"Strong commitment to equality and righteousness."
"I feel betrayed and stabbed in the back",betrayed,negative,0.92,"Deep hurt from broken loyalty and trust."
"I am a hundred percent sure and confident",confident,positive,0.94,"Absolute certainty and unwavering self-assurance."
"I have complete confidence in this decision",assured,positive,0.92,"Firm belief and conviction with no doubt."
"I am certain this will succeed",determined,positive,0.90,"Complete faith and unwavering commitment."
"I know exactly what I'm doing",skilled,positive,0.88,"Mastery and confident control of the situation."
"There's no doubt in my mind",sure,positive,0.91,"Absolute conviction and mental clarity."
"I'm 100% convinced this is right",resolute,positive,0.93,"Firm resolution and unshakeable belief."
"I have total faith in myself",strong,positive,0.89,"Deep inner strength and self-belief."
"This is definitely going to work",optimistic,positive,0.87,"Confident expectation of positive outcome."
"I'm completely certain about my goals",focused,positive,0.91,"Clear vision and absolute commitment."
"I know I can handle this",capable,positive,0.86,"Self-belief and confidence in abilities."
"I have no doubts whatsoever",secure,positive,0.93,"Complete peace of mind and certainty."
"This will absolutely happen",hopeful,positive,0.88,"Unwavering faith in positive future."
"I'm convinced beyond any shadow of doubt",steadfast,positive,0.92,"Rock-solid conviction and certainty."
"My conviction is unshakeable",principled,positive,0.90,"Deep commitment to beliefs without hesitation."
"I feel sad",sad,negative,0.85,"Deep sorrow and emotional heaviness."
"I am feeling sad today",sad,negative,0.87,"Melancholy and emotional pain."
"My heart is heavy with sadness",sad,negative,0.89,"Profound grief and emotional weight."
"I feel so sad I could cry",sad,negative,0.88,"Overwhelming sorrow and emotional anguish."
"This sadness is unbearable",sad,negative,0.86,"Deep despair and emotional suffering."
"I'm drowning in sadness",sad,negative,0.91,"Consuming melancholy and overwhelming sorrow."
"Everything feels sad and dark",sad,negative,0.84,"Pervasive gloom and emotional darkness."
"This profound sadness won't lift",sad,negative,0.87,"Persistent melancholy and emotional weight."
"I am stoic",stoic,neutral,0.82,"Calm acceptance with emotional composure."
"I face this with stoicism",stoic,neutral,0.85,"Quiet strength and philosophical acceptance."
"I remain stoic in the face of adversity",stoic,neutral,0.88,"Unshakeable composure and inner strength."
"My stoic nature helps me endure",stoic,neutral,0.84,"Controlled emotions and steadfast resilience."
"I choose to be stoic about this",stoic,neutral,0.83,"Deliberate emotional restraint and wisdom."
"Stoicism guides my response",stoic,neutral,0.86,"Philosophical approach and emotional control."
"I accept this with stoic grace",stoic,neutral,0.87,"Composed acceptance and emotional maturity."
"My stoic demeanor masks the pain",stoic,neutral,0.81,"Emotional restraint and inner fortitude."
"I embrace my stoic philosophy",stoic,neutral,0.84,"Wisdom and acceptance of unchangeable things."
"This is my stoic path",stoic,neutral,0.85,"Purposeful restraint and philosophical resolve."
"I stand stoic and unmoved",stoic,neutral,0.86,"Emotional stability and unwavering composure."
